9126,Passeriformes
9205,Pelecaniformes
9263,Metatheria
9347,Eutheria
9362,Eulipotyphla
9443,Primates
9604,Hominidae
9721,Cetacea
9989,Rodentia
10239,Viruses
10240,Poxviridae
10241,Chordopoxvirinae
10242,Orthopoxvirus
10257,Parapoxvirus
10260,Avipoxvirus
10284,Entomopoxvirinae
10286,Betaentomopoxvirus
10292,Herpesviridae
10293,Alphaherpesvirinae
10294,Simplexvirus
10319,Varicellovirus
10357,Betaherpesvirinae
10358,Cytomegalovirus
10374,Gammaherpesvirinae
10379,Rhadinovirus
10405,Orthohepadnavirus
10437,Avihepadnavirus
10442,Baculoviridae
10474,Fuselloviridae
10475,Alphafusellovirus
10477,Lipothrixviridae
10482,Polydnaviriformidae
10486,Iridoviridae
10487,Iridovirus
10492,Ranavirus
10501,Phycodnaviridae
10508,Adenoviridae
10509,Mastadenovirus
10552,Aviadenovirus
10639,Caulimovirus
10652,Badnavirus
10656,Tectiviridae
10662,Caudoviricetes
10663,Tequatrovirus
10699,Caudoviricetes
10744,Caudoviricetes
10780,Parvoviridae
10803,Dependoparvovirus
10806,Ambidensovirus
10811,Geminiviridae
10812,Mastrevirus
10814,Begomovirus
10841,Microviridae
10860,Inoviridae
10877,Cystoviridae
10880,Reovirales
10882,Orthoreovirus
10892,Orbivirus
10912,Rotavirus
10979,Aquareovirus
10981,Cypovirus
10988,Fijivirus
10993,Birnaviridae
11006,Totiviridae
11007,Totivirus
11012,Partitiviridae
11018,Togaviridae
11050,Flaviviridae
11051,Flavivirus
11095,Pestivirus
11102,Hepacivirus
11118,Coronaviridae
11157,Mononegavirales
11158,Paramyxoviridae
11229,Morbillivirus
11244,Pneumoviridae
11266,Filoviridae
11270,Rhabdoviridae
11271,Vesiculovirus
11286,Lyssavirus
11305,Cytorhabdovirus
11306,Nucleorhabdovirus
11308,Orthomyxoviridae
11320,Influenza A virus
11572,Orthobunyavirus
11584,Phlebovirus
11617,Arenaviridae
11632,Retroviridae
11646,Lentivirus
11974,Caliciviridae
11989,Fiersviridae
11990,Emesvirus
12036,Luteovirus
12051,Marafivirus
12058,Picornaviridae
12059,Enterovirus
12091,Hepatovirus
12137,Sobemovirus
12141,Tombusvirus
12148,Tymovirus
12160,Closterovirus
12163,Carlavirus
12176,Potexvirus
12195,Potyvirus
12234,Tobamovirus
12258,Comovirus
12270,Nepovirus
12283,Nodaviridae
12291,Furovirus
12300,Bromovirus
12316,Ilarvirus
12877,Satellites
12916,Acidovorax
13687,Sphingomonas
13792,Mamiellales
27994,Theileriidae
28056,Micromonosporaceae
28105,Sinorhizobium
28196,Arcobacter
28211,Alphaproteobacteria
28216,Betaproteobacteria
28221,Deltaproteobacteria
28228,Colwellia
28231,Geobacter
28253,Marinomonas
28256,Halomonadaceae
28453,Sphingobacterium
28556,Pleosporaceae
28568,Trichocomaceae
28738,Cyprinodontiformes
28883,Caudoviricetes
28884,Hydrogenovibrio
28890,Euryarchaeota
29258,unclassified ssDNA viruses
29330,Alicyclobacillus
29465,Veillonella
29521,Brachyspira
29547,Campylobacterota
29580,Janthinobacterium
31932,Nitrosopumilales
31953,Bifidobacteriaceae
31957,Propionibacteriaceae
31969,Mollicutes
31977,Veillonellaceae
31979,Clostridiaceae
31989,Paracoccaceae
32003,Nitrosomonadales
32008,Burkholderia
32011,Methylophilaceae
32033,Xanthomonadaceae
32066,Fusobacteriota
32067,Leptotrichia
32199,Buchnera
32523,Tetrapoda
32613,Ephemerovirus
33055,Candidatus Kinetoplastibacterium
33057,Thauera
33090,Viridiplantae
33183,Onygenales
33208,Metazoa
33392,Endopterygota
33554,Carnivora
33630,Alveolata
33634,Stramenopiles
33682,Euglenozoa
33877,Agromyces
33882,Microbacterium
33926,Phytoplasma
33958,Lactobacillaceae
33986,Exiguobacterium
34019,Liberibacter
34064,Francisellaceae
34072,Variovorax
34098,Blattabacterium
34365,Saccharomycodaceae
34379,Pseudeurotiaceae
34384,Arthrodermataceae
34395,Chaetothyriales
34397,Clavicipitaceae
34735,Apoidea
35237,unclassified dsDNA viruses
35268,unclassified Ortervirales
35278,unclassified ssRNA positive-strand viruses
35301,unclassified ssRNA negative-strand viruses
35325,dsRNA viruses
36668,Formicidae
37572,Papilionoidea
37989,Xylariales
38820,Poales
39152,Methanococcus maripaludis
39724,Circoviridae
39725,Circovirus
39729,Potyviridae
39731,Bymovirus
39733,Astroviridae
39734,Umbravirus
39738,Tombusviridae
39740,Bromoviridae
39744,Rubulavirus
39748,Hypoviridae
39749,Hypovirus
40119,Parvovirinae
40120,Densovirinae
40122,Iteradensovirus
40222,Methylophaga
40272,Roseolovirus
40274,Chlamydiamicrovirus
40276,Trichovirus
40323,Stenotrophomonas
40674,Mammalia
41084,Polyphaga
41275,Brevundimonas
41294,Nitrobacteraceae
41295,Rhodospirillaceae
41297,Sphingomonadaceae
41938,Malvales
41980,Metallosphaera
43080,Sulfolobus islandicus
43668,Brachybacterium
43988,Cyanothece
44000,Caldicellulosiruptor
44249,Paenibacillus
45401,Hyphomicrobiaceae
45669,Salinicoccus
45989,Methanoculleus
46255,Weissella
46913,Devosia
47251,Leptolyngbya
48075,Marinobacterium
48736,Ralstonia
49277,Psychroserpens
49546,Flavobacteriaceae
50557,Insecta
52959,Polaribacter
53246,Pseudoalteromonas
53335,Pantoea
55080,Brevibacillus
55968,Leucobacter
56688,Halorubrum
57493,Kocuria
57665,Sulfurospirillum
57723,Acidobacteriota
59732,Chryseobacterium
59753,Alcanivorax
60136,Sulfitobacter
60846,Halogeometricum
63742,Natrialba
64895,Borreliella
65551,Meiothermus
67572,Psychromonas
67753,Crinivirus
68287,Mesorhizobium
68295,Thermoanaerobacterales
68336,Bacteroidota/Chlorobiota group
68525,delta/epsilon subdivisions
68889,Boletales
69277,Phyllobacteriaceae
69541,Desulfuromonadales
69657,Hyphomonadaceae
69973,Closteroviridae
71240,eudicotyledons
72025,Fabales
72273,Thiotrichales
72274,Pseudomonadales
72275,Alteromonadaceae
72276,Ectothiorhodospiraceae
72293,Helicobacteraceae
72294,Campylobacteraceae
74030,Roseovarius
74201,Verrucomicrobiota
75682,Oxalobacteraceae
75966,Trebouxiophyceae
76803,Arteriviridae
76804,Nidovirales
76890,Asticcacaulis
76892,Caulobacteraceae
79206,Desulfosporosinus
80840,Burkholderiales
80864,Comamonadaceae
81850,Lactobacillaceae
81852,Enterococcaceae
82115,Rhizobiaceae
